ID	DateTime	Action	LicenseCode	ApplicationName	User	Computer	TotalApplicationInstancesPerLicense	LicenseDuration	TotalLicensePerUser	TotalLicenses	InstancesPerApplication	ApplicationInstancesPerLicense	ApplicationDuration	TotalApplications	TotalApplicationsPerUser
88	 2019-09-30 14:43:43.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User12	Computer	2	 02:32:23	1	16	1	1	 02:46:28	11	2
89	 2019-09-30 14:48:04.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User14	Computer	2	 03:37:29	1	16	2	2	 03:37:29	11	1
90	 2019-09-30 14:48:23.000	IN	AEC COLLECTION	86706RVT_2017_0F	User14	Computer	1	 03:37:48	1	16	1	1	 03:37:48	11	1
91	 2019-09-30 14:52:38.000	IN	AEC COLLECTION	87149RVT_2019_0F	User24	Computer	0	 00:15:00	0	15	0	0	 00:15:00	4	0
92	 2019-09-30 14:52:46.001	OUT	AEC COLLECTION	86917RVT_2018_0F	User24	Computer	1	 00:00:08	1	16	1	1	 00:00:00	2	1
93	 2019-09-30 14:53:18.000	IN	AEC COLLECTION	86917RVT_2018_0F	User24	Computer	0	 00:00:40	0	15	0	0	 00:00:32	1	0
94	 2019-09-30 14:53:20.001	OUT	AEC COLLECTION	86917RVT_2018_0F	User24	Computer	1	 00:00:02	1	16	1	1	 00:00:02	2	1
95	 2019-09-30 14:57:41.001	OUT	AEC COLLECTION	87084ACD_2019_0F	User3	Computer	3	 05:34:00	1	16	1	1	 00:00:00	1	2
96	 2019-09-30 15:00:00.000	IN	AEC COLLECTION	87084ACD_2019_0F	User3	Computer	2	 05:36:19	1	16	0	0	 00:02:19	0	1
97	 2019-09-30 15:14:48.001	OUT	AEC COLLECTION	87084ACD_2019_0F	User3	Computer	3	 05:51:07	1	16	1	1	 00:14:48	1	2
98	 2019-09-30 15:15:00.000	IN	AEC COLLECTION	87084ACD_2019_0F	User3	Computer	2	 05:51:19	1	16	0	0	 00:15:00	0	1
99	 2019-09-30 15:15:15.001	OUT	AEC COLLECTION	87084ACD_2019_0F	User3	Computer	3	 05:51:34	1	16	1	1	 00:00:15	1	2
100	 2019-09-30 15:17:35.000	IN	AEC COLLECTION	87084ACD_2019_0F	User3	Computer	2	 05:53:54	1	16	0	0	 00:02:35	0	1
101	 2019-09-30 15:17:51.001	OUT	AEC COLLECTION	87084ACD_2019_0F	User3	Computer	3	 05:54:10	1	16	1	1	 00:00:16	1	2
102	 2019-09-30 15:18:04.000	IN	AEC COLLECTION	87084ACD_2019_0F	User3	Computer	2	 05:54:23	1	16	0	0	 00:00:29	0	1
103	 2019-09-30 15:33:49.000	IN	AEC COLLECTION	86766NAVMAN_2017_0F	User22	Computer	1	 05:51:18	1	16	0	0	 05:22:20	1	1
104	 2019-09-30 15:33:58.000	OUT	AEC COLLECTION	86766NAVMAN_2017_0F	User22	Computer	2	 05:51:27	1	16	1	1	 00:00:09	2	2
105	 2019-09-30 15:56:38.001	OUT	AEC COLLECTION	87084ACD_2019_0F	User1	Computer	1	 05:49:44	1	17	1	1	 05:49:44	1	1
106	 2019-09-30 15:57:34.000	IN	AEC COLLECTION	87084ACD_2019_0F	User1	Computer	0	 05:50:40	0	16	0	0	 05:50:40	0	0
